City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Moerai,PF,2021-08-08 16:59:07,-22.4333,-151.3333,72.99,73,3,7.16
89,Dikson,RU,2021-08-08 16:55:19,73.5069,80.5464,48.34,73,2,3.51
90,Khatanga,RU,2021-08-08 16:53:30,71.9667,102.5,53.98,61,96,14.7
91,Olavarria,AR,2021-08-08 16:59:08,-36.8927,-60.3225,42.89,84,100,13.22
92,Saskylakh,RU,2021-08-08 16:53:42,71.9167,114.0833,60.35,57,96,10.16
93,Kananga,CD,2021-08-08 16:59:09,-5.8958,22.4178,82.62,28,78,3.02
94,Marfino,RU,2021-08-08 16:57:58,55.7028,37.3822,76.28,73,0,2.24
95,Punta Arenas,CL,2021-08-08 16:57:15,-53.15,-70.9167,42.91,70,75,24.16
96,Port Alfred,ZA,2021-08-08 16:53:25,-33.5906,26.891,66.11,59,61,16.71
97,Rabo De Peixe,PT,2021-08-08 16:59:10,37.8,-25.5833,71.11,73,75,19.57
98,Puerto Ayora,EC,2021-08-08 16:58:13,-0.7393,-90.3518,75.16,84,37,11.01
99,Caravelas,BR,2021-08-08 16:56:22,-17.7125,-39.2481,75.81,59,16,10.4
100,Kawalu,ID,2021-08-08 16:59:10,-7.3817,108.2082,74.12,97,69,1.3
101,Luderitz,NA,2021-08-08 16:59:11,-26.6481,15.1594,57.96,79,69,6.82
102,Santa Cruz,BO,2021-08-08 16:58:58,-17.8,-63.1667,89.06,42,20,24.16
103,Chuy,UY,2021-08-08 16:55:24,-33.6971,-53.4616,68.07,74,81,6.76
104,Kruisfontein,ZA,2021-08-08 16:55:21,-34.0033,24.7314,56.73,81,89,11.54
105,Kampot,KH,2021-08-08 16:58:26,10.6167,104.1833,82.45,90,60,8.46
106,Tessalit,ML,2021-08-08 16:59:12,20.1986,1.0114,92.95,36,55,16.46
107,Cockburn Town,TC,2021-08-08 16:59:12,21.4612,-71.1419,85.96,66,40,10.36
108,Velingrad,BG,2021-08-08 16:59:13,42.0272,23.9957,86.86,41,0,2.24
109,Geraldton,AU,2021-08-08 16:58:23,-28.7667,114.6,64.81,88,90,12.66
110,Havre-Saint-Pierre,CA,2021-08-08 16:53:49,50.2334,-63.5986,66.56,45,40,5.75
111,Naze,JP,2021-08-08 16:57:06,28.3667,129.4833,78.22,87,50,17.11
112,Praia,CV,2021-08-08 16:59:14,14.9215,-23.5087,84.74,74,40,12.66
113,Sinnamary,GF,2021-08-08 16:59:14,5.3833,-52.95,86.63,64,58,12.39
114,Arraial Do Cabo,BR,2021-08-08 16:59:14,-22.9661,-42.0278,75.16,68,20,25.32
115,Wagar,SD,2021-08-08 16:59:15,16.1525,36.2032,86.97,54,99,9.35
116,Davidson,US,2021-08-08 16:59:15,36.1501,-86.7833,89.1,61,1,5.01
117,Fort Nelson,CA,2021-08-08 16:58:22,58.8053,-122.7002,51.39,93,75,2.3
118,Mataram,ID,2021-08-08 16:59:15,-8.5833,116.1167,77.81,85,31,2.93
119,Esmeraldas,BR,2021-08-08 16:59:16,-19.7625,-44.3139,75.31,47,90,9.66
120,Upernavik,GL,2021-08-08 16:59:16,72.7868,-56.1549,40.89,87,89,4.5
121,Severo-Kurilsk,RU,2021-08-08 16:55:56,50.6789,156.125,52.75,80,38,10.25
122,Hambantota,LK,2021-08-08 16:58:12,6.1241,81.1185,78.84,82,52,16.42
123,Oranjemund,NA,2021-08-08 16:57:11,-28.55,16.4333,59.16,71,88,11.97
124,Ixtapa,MX,2021-08-08 16:59:17,20.7,-105.2,86.23,75,90,1.99
125,Mangrol,IN,2021-08-08 16:59:17,21.1167,70.1167,81.1,80,99,9.28
126,Linjiang,CN,2021-08-08 16:59:18,41.8069,126.9078,63.39,84,0,1.21
127,Aykhal,RU,2021-08-08 16:57:59,66.0,111.5,50.07,85,42,3.15
128,French Harbor,HN,2021-08-08 16:59:18,16.35,-86.4333,88.0,74,75,1.99
129,Carnarvon,AU,2021-08-08 16:55:35,-24.8667,113.6333,66.27,80,0,6.91
130,Bandar-E Anzali,IR,2021-08-08 16:59:19,37.4727,49.4622,83.16,73,41,1.92
131,Portobelo,PA,2021-08-08 16:59:20,9.55,-79.65,86.86,81,66,4.76
132,Novoasbest,RU,2021-08-08 16:59:20,57.7422,60.2877,63.32,77,94,8.41
133,Bathsheba,BB,2021-08-08 16:58:04,13.2167,-59.5167,88.41,74,40,21.85
134,Bayan,CN,2021-08-08 16:59:21,46.0833,127.4,56.84,79,2,14.94
135,Sovetskiy,RU,2021-08-08 16:57:55,61.3614,63.5842,61.84,85,68,5.35
136,Kedrovyy,RU,2021-08-08 16:59:22,56.1667,91.8167,57.61,82,75,3.56
137,Morros,BR,2021-08-08 16:59:22,-9.4467,-46.3003,89.02,25,5,10.4
138,Warri,NG,2021-08-08 16:56:53,5.5167,5.75,77.72,79,96,9.17
139,Preobrazheniye,RU,2021-08-08 16:59:23,42.9019,133.9064,64.06,85,100,15.88
140,Esperance,AU,2021-08-08 16:54:35,-33.8667,121.9,62.44,77,8,14.74
141,Merauke,ID,2021-08-08 16:55:38,-8.4667,140.3333,75.02,88,99,11.56
142,Manokwari,ID,2021-08-08 16:59:24,-0.8667,134.0833,77.27,80,99,2.95
143,Isangel,VU,2021-08-08 16:58:03,-19.55,169.2667,69.13,73,86,10.67
144,Cartagena,CO,2021-08-08 16:58:41,10.3997,-75.5144,91.02,62,40,5.75
145,Hat Yai,TH,2021-08-08 16:59:24,7.0084,100.4767,78.98,89,20,2.3
146,Labuhan,ID,2021-08-08 16:59:25,-6.8844,112.2051,79.05,86,13,8.08
147,Viedma,AR,2021-08-08 16:55:22,-40.8135,-62.9967,55.6,33,59,13.47
148,Torbay,CA,2021-08-08 16:58:21,47.6666,-52.7314,77.88,77,75,14.97
149,Nyrob,RU,2021-08-08 16:59:25,60.733,56.7202,55.18,84,100,4.85
150,Flin Flon,CA,2021-08-08 16:59:26,54.7682,-101.865,62.44,88,90,4.61
151,Hithadhoo,MV,2021-08-08 16:59:26,-0.6,73.0833,82.71,72,97,5.79
152,Baherden,TM,2021-08-08 16:55:50,38.4362,57.4316,95.79,12,0,5.1
153,Qaanaaq,GL,2021-08-08 16:55:20,77.484,-69.3632,39.42,67,37,2.89
154,Hasaki,JP,2021-08-08 16:59:27,35.7333,140.8333,79.2,90,100,9.01
155,Mareeba,AU,2021-08-08 16:59:27,-17.0,145.4333,65.12,92,26,2.59
156,Aklavik,CA,2021-08-08 16:59:27,68.2191,-135.0107,48.2,81,75,0.0
157,Vaini,TO,2021-08-08 16:57:58,-21.2,-175.2,64.56,88,40,2.3
158,Netanya,IL,2021-08-08 16:59:28,32.3329,34.8599,85.95,71,0,5.3
159,Morehead,US,2021-08-08 16:55:32,37.2711,-87.1764,87.84,67,1,3.0
160,Marzuq,YE,2021-08-08 16:59:28,14.4,46.4667,87.8,27,74,13.53
161,Fukue,JP,2021-08-08 16:59:29,32.6881,128.8419,79.83,83,90,23.64
162,Mwinilunga,ZM,2021-08-08 16:59:29,-11.7358,24.4293,69.15,24,22,5.79
163,East London,ZA,2021-08-08 16:57:58,-33.0153,27.9116,79.74,14,0,5.75
164,Baruun-Urt,MN,2021-08-08 16:59:29,46.6806,113.2792,57.85,90,91,3.76
165,Probolinggo,ID,2021-08-08 16:59:30,-7.7543,113.2159,80.46,84,57,3.11
166,Narsaq,GL,2021-08-08 16:58:39,60.9167,-46.05,48.69,62,15,11.41
167,Sao Filipe,CV,2021-08-08 16:58:11,14.8961,-24.4956,79.97,78,18,9.06
168,Lata,PT,2021-08-08 16:55:36,40.1629,-8.3327,85.05,40,0,11.83
169,Flinders,AU,2021-08-08 16:58:03,-34.5833,150.8552,53.8,81,100,1.01
170,Port Hardy,CA,2021-08-08 16:59:31,50.6996,-127.4199,59.18,88,90,8.05
